,tweetid,favorite_count,retweet_count,lang,source,followers_count
0,892420643555336193,36217,7707,en,Twitter for iPhone,8784787
1,892177421306343426,31225,5697,en,Twitter for iPhone,8784787
2,891815181378084864,23505,3777,en,Twitter for iPhone,8784787
3,891689557279858688,39485,7864,en,Twitter for iPhone,8784787
4,891327558926688256,37704,8481,en,Twitter for iPhone,8784787
5,891087950875897856,18989,2842,en,Twitter for iPhone,8784787
6,890971913173991426,11061,1848,en,Twitter for iPhone,8784787
7,890729181411237888,60990,17198,en,Twitter for iPhone,8784787
8,890609185150312448,26154,3913,en,Twitter for iPhone,8784787
9,890240255349198849,29884,6695,en,Twitter for iPhone,8784787
10,890006608113172480,28768,6679,en,Twitter for iPhone,8784787
11,889880896479866881,26174,4548,en,Twitter for iPhone,8784787
12,889665388333682689,45050,9120,en,Twitter for iPhone,8784787
13,889638837579907072,25356,4090,en,Twitter for iPhone,8784787
14,889531135344209921,14199,2057,en,Twitter for iPhone,8784787
15,889278841981685760,23624,4859,en,Twitter for iPhone,8784787
16,888917238123831296,27282,4098,en,Twitter for iPhone,8784787
17,888804989199671297,23977,3870,en,Twitter for iPhone,8784787
18,888554962724278272,18521,3176,en,Twitter for iPhone,8784787
19,888078434458587136,20420,3161,en,Twitter for iPhone,8784788
20,887705289381826560,28368,4912,en,Twitter for iPhone,8784788
21,887517139158093824,43478,10736,en,Twitter for iPhone,8784788
22,887473957103951883,64436,16412,en,Twitter for iPhone,8784788
23,887343217045368832,31562,9552,en,Twitter for iPhone,8784788
24,887101392804085760,28714,5443,en,Twitter for iPhone,8784788
25,886983233522544640,32753,6999,en,Twitter for iPhone,8784788
26,886736880519319552,11236,2932,en,Twitter for iPhone,8784788
27,886680336477933568,21072,4080,en,Twitter for iPhone,8784788
28,886366144734445568,19833,2889,en,Twitter for iPhone,8784788
29,886267009285017600,111,4,en,Twitter for iPhone,8784788
30,886258384151887873,26243,5765,en,Twitter for iPhone,8784788
31,886054160059072513,0,100,und,Twitter for iPhone,8784788
32,885984800019947520,30545,6126,en,Twitter for iPhone,8784788
33,885528943205470208,33706,5830,en,Twitter for iPhone,8784788
34,885518971528720385,19213,3405,en,Twitter for iPhone,8784788
